zipcode,lat,lng,state,city,avg2019,avg2020
52043,42.83402,-91.426319,IA,Elkader,109478.0833,110238.0833
48742,44.742724,-83.435666,MI,Lincoln,95168.83333,97906.41667
61843,40.317241,-88.373903,IL,Fisher,143465.8333,147116.3333
12926,44.950821,-74.329,NY,Town Of Constable,97316.91667,99859.08333
65787,38.070593,-92.883347,MO,Roach,238851.5833,253027.4167
88311,32.812102,-105.990607,NM,Alamogordo,66686.58333,75718.66667
78873,29.815376,-99.727302,TX,Leakey,218524.1667,225517.25
29468,33.425634,-80.056991,SC,Pineville,133276.8333,140955.6667
16822,41.1483,-77.69703,PA,Beech Creek Township,138773.75,142199.1667
31765,31.087551,-84.027154,GA,Meigs,110081.0833,111904.9167
56232,44.932618,-96.035236,MN,Dawson,80719.16667,84616.33333
33122,25.794856,-80.288375,FL,Doral,1159344.167,1089268.667
12981,44.627099,-73.845851,NY,Town Of Saranac,132430.0833,133535.8333
79359,32.971141,-102.586555,TX,Seagraves,84694.91667,88397.16667
36782,32.116133,-87.912973,AL,Sweet Water,56996.5,64206.25
12918,44.700736,-73.676657,NY,Town Of Saranac,140735.0833,141995.6667
87825,33.87734,-107.656211,NM,Socorro,117463.3333,126990.9167
13495,43.11089,-75.277497,NY,Yorkville,112051.3333,116808.1667
55952,43.943303,-91.843577,MN,Lewiston,214234,218048.8333
48835,43.024903,-84.749057,MI,Fowler,166650.75,184144.75
54435,45.360466,-89.438199,WI,Gleason,157054.75,156018.3333
50675,42.19782,-92.512092,IA,Traer,126515.5833,129688.25
49309,43.759824,-85.876884,MI,Bitely,101615.1667,105510.75
98828,47.310078,-120.178258,WA,Malaga,314761.0833,332405.8333
61533,40.586374,-89.842499,IL,Glasford,120129.5833,119873.4167
52322,41.692718,-91.762785,IA,Oxford,238617.5833,249455.25
31303,32.505422,-81.313427,GA,Clyo,180264.5833,177663.25
48159,42.019159,-83.547956,MI,Maybee,188929.0833,192323.0833
40486,37.365328,-83.862799,KY,Tyner,77589.08333,68696
74941,35.287754,-94.883911,OK,Keota,78711.91667,84393.66667
4660,44.335753,-68.345729,ME,Mount Desert,597375.25,620037
54460,44.938751,-90.543261,WI,Owen,79905.83333,83614.25
48886,43.415719,-85.159692,MI,Six Lakes,109684.3333,124160
29729,34.689134,-81.00676,SC,Richburg,114136.25,122184.25
70049,30.030544,-90.571302,LA,Edgard,99734.75,91307.58333
74940,34.953637,-94.622427,OK,Howe,95607.5,99360.66667
3245,43.76159,-71.583345,NH,Holderness,362694.4167,378743.5
62080,39.137908,-89.10422,IL,Ramsey,75648.5,76314.91667
53968,43.646122,-90.22785,WI,Wonewoc,94143.83333,99210.5
48414,42.861694,-84.079846,MI,Bancroft,149037.4167,153402.75
35981,34.722345,-85.648802,AL,Ider,96779.25,101051.5
12764,41.591553,-74.995556,NY,Tusten,212270.6667,225611.9167
56528,46.521354,-95.823814,MN,Dent,284910.4167,291604.8333
68465,40.486338,-97.022227,NE,Wilber,117343.3333,122307.8333
15954,40.424043,-78.998097,PA,East Wheatfield Township,95390.08333,96671
78393,28.187118,-97.382226,TX,Woodsboro,104354.8333,109135.5
98586,46.551443,-123.830811,WA,South Bend,153240.5833,159630.25
68731,42.404578,-96.472928,NE,Dakota City,160821,166470.5833
77335,30.574473,-94.911179,TX,Goodrich,88170.83333,91128.41667
58257,47.497296,-97.28183,ND,Mayville,130567.25,129976.6667
24555,37.669829,-79.484088,VA,Glasgow,122285.0833,125022.1667
20117,38.998822,-77.733937,VA,Middleburg,732151.25,753981.3333
14139,42.718405,-78.541402,NY,Wales,246489,256821.0833
13658,44.747782,-75.271203,NY,Ogdensburg,80591.08333,84157.91667
44510,41.122254,-80.673433,OH,Youngstown,18911.66667,22666.83333
28538,35.416645,-77.565077,NC,Hookerton,104429.9167,105611.4167
49026,42.376862,-85.963435,MI,Bloomingdale,116512.6667,128695.75
76443,32.13383,-99.213349,TX,Cross Plains,96086.16667,95859.75
51455,41.911565,-95.055142,IA,Manning,104905.75,107455
14741,42.219966,-78.611624,NY,Town Of Great Valley,129909.6667,133540.75
13736,42.324084,-76.202038,NY,Berkshire,117919.0833,120694.6667
58329,48.873307,-100.079593,ND,Dunseith,85623.08333,79904.83333
56296,45.82683,-96.462462,MN,Wheaton,52612.16667,54203.75
68869,40.996135,-98.884197,NE,Ravenna,129670.9167,132274.9167
78656,29.904511,-97.807308,TX,Maxwell,178601.6667,187649
